name,primaryMuscles,secondaryMuscles,equipment,mechanic,force,movement_pattern,difficulty_level,category,skill_level,fatigue_score,stimulus_score,sfr_ratio,axial_load,recovery_time_hours,order_priority,gifUrl,goal_Strength,goal_Muscle,goal_WeightLoss,goal_Endurance,goal_General,Strength_min_reps,Strength_max_reps,Strength_rest_seconds,Strength_sets,Muscle_min_reps,Muscle_max_reps,Muscle_rest_seconds,Muscle_sets,WeightLoss_min_reps,WeightLoss_max_reps,WeightLoss_rest_seconds,WeightLoss_sets,Endurance_min_reps,Endurance_max_reps,Endurance_rest_seconds,Endurance_sets,General_min_reps,General_max_reps,General_rest_seconds,General_sets,contraindications,instructions
Single Dumbbell Raise,shoulders,forearms|traps,dumbbell,isolation,,other,2,strength,beginner,3,5,1.67,2,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,,"With a wide stance, hold a dumbell with both hands, grasping the head of the dumbbell instead of the handle. Your arms should be extended and hanging at the waist. This will be your starting position. | Raise the weight until it is above shoulder level, keeping your arms extended. Your torso and hips should remain stationary throughout the movement. | Return to the starting position and repeat for the recommended amount of repetitions."
Single Leg Butt Kick,quadriceps,calves|hamstrings,body only,compound,push,squat,2,plyometrics,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Begin by standing on one leg, with the bent knee raised. This will be your start position. | Using a countermovement jump, take off upward by extending the hip, knee, and ankle of the grounded leg. | Immediately flex the knee and attempt to touch your butt with the heel of your jumping leg. | Return the leg to a partially bent position underneath the hips and land. Your opposite leg should stay in relatively the same position throughout the drill."
Single Leg Glute Bridge,glutes,hamstrings,body only,isolation,push,hip_hinge,2,strength,beginner,7,9,1.29,9,48,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,disc_herniation|lower_back_injury|sciatica,"Lay on the floor with your feet flat and knees bent. | Raise one leg off of the ground, pulling the knee to your chest. This will be your starting position. | Execute the movement by driving through the heel, extending your hip upward and raising your glutes off of the ground. | Extend as far as possible, pause and then return to the starting position."
Single Leg Push-off,quadriceps,calves|hamstrings,other,compound,push,squat,2,plyometrics,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Stand on the ground with one foot resting on the box, heel close to the edge. | Push off with your foot on top of the box, trying to gain as much height as possible by extending through the hip and knee. | Land with the same foot on top of the box, returning your other foot back to the start position."
Single-Arm Bottoms-Up Overhead Press – Kettlebell,shoulders,forearms|shoulders|triceps,kettlebell,compound,,vertical_push,3,strength,intermediate,7,7,1.0,6,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Stand with feet shoulder-width apart holding a kettlebell bottoms-up in one hand at shoulder height. | Engage your core and make sure your wrist is straight and aligned directly under the kettlebell. | Press the kettlebell overhead by extending your arm fully while keeping the bottom of the kettlebell facing up. | Maintain a stable and upright position without leaning backward or sideways. | Slowly lower the kettlebell back to shoulder height, keeping control of the movement. | Repeat for desired number of reps, then switch to the other arm."
Single-Arm Bulgarian Split Squat – Dumbbell,glutes|hamstrings|quadriceps,abdominals|calves,dumbbell,compound,,squat,3,strength,intermediate,9,10,1.11,8,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,Stand a few feet in front of a bench with your back towards it. | Hold a dumbbell in one hand on the same side as the working leg. | Extend your opposite leg back and place the top of your foot on the bench. | Keep your chest upright and core engaged throughout the movement. | Slowly lower your hips by bending the knee of the working leg. | Continue lowering until your front thigh is parallel to the ground. | Push through the heel of your front foot to return to the starting position. | Repeat for the desired number of repetitions before switching sides.
Single-Arm Cable Crossover,chest,,cable,isolation,push,horizontal_push,2,strength,beginner,3,9,3.0,1,36,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,pec_tear|rotator_cuff_tear|shoulder_impingement,"Begin by moving the pulleys to the high position, select the resistance to be used, and take a handle in each hand. | Step forward in front of both pulleys with your arms extended in front of you, bringing your hands together. Your head and chest should be up as you lean forward, while your feet should be staggered. This will be your starting position. | Keeping your left arm in place, allow your right arm to extend out to the side, maintaining a slight bend at the elbow. The right arm should be perpendicular to the body at approximately shoulder level. | Return your arm back to the starting position by pulling your hand back to the midline of the body. | Hold for a second at the starting position and repeat the movement on the opposite side. Continue alternating back and forth for the prescribed number of repetitions."
Single-Arm Front Rack Contralateral Walking Lunge – Kettlebell,glutes|quadriceps,abdominals|calves|shoulders|traps,kettlebell,compound,,lunge,3,strength,intermediate,8,7,0.88,5,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,ankle_injury|hip_impingement|knee_injury,"Start standing with feet hip-width apart and a kettlebell in your right hand in a front rack position, resting the kettlebell on the back of your forearm with your elbow close to the body. This is your starting position. | Engage your core and brace your body, maintaining a neutral spine throughout the movement. | Step your left foot forward into a lunge position, ensuring your knee is aligned with your toe and creating a 90-degree angle at the knee joint. | Lower your right knee toward the ground without letting it touch, keeping your front knee stacked over your ankle. | Press through your left heel to return to the starting position, keeping the kettlebell stable in the front rack position. | Repeat for the desired number of repetitions walking forward with your left foot. | Switch sides to complete the same number of repetitions, holding the kettlebell with your left hand and walking forward with your right foot."
Single-Arm Front Rack Walking Lunge – Dumbbell,glutes|quadriceps,abdominals|calves|shoulders|traps,dumbbell,compound,,lunge,3,strength,intermediate,8,8,1.0,5,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,ankle_injury|hip_impingement|knee_injury,"Stand with feet hip-width apart holding a dumbbell in one hand at shoulder height, with your elbow close to your body, palm facing inward. | Engage your core to maintain balance and ensure your shoulders are level. | Step forward with the opposite leg to the dumbbell and lower your body into a lunge until both knees are at around 90-degree angles. | Ensure your front knee does not extend past your toes and your back knee hovers just above the ground. | Push off the front foot to bring your rear leg forward, coming back to the standing position. | Continue the movement by alternating legs as you walk forward, maintaining balance and control throughout. | Perform an even number of repetitions with the dumbbell in one hand before switching the dumbbell to the other hand and doing the same number of repetitions again."
Single-Arm Hang – Bar,forearms,,body only,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,Find a sturdy bar that can support your weight. | Jump up and grab the bar with one hand. | Hold the position for as long as you can. | Slowly lower yourself down and release your grip on the bar.
Single-Arm Hang – Rings,forearms|lats,biceps|abdominals|shoulders|traps,body only,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Locate a ring that is securely anchored and can support your weight. Adjust the ring to a height where you can comfortably reach it while keeping your feet off the ground. | Stand beneath the ring and reach up with one hand to grip it tightly. Lift your feet off the ground and let your body hang freely, maintaining a straight posture. | Focus on holding the position while keeping your shoulder activated and core engaged, avoiding any twisting or rotating. | Hold for the desired amount of time or for as long as you can maintain proper form before safely lowering yourself."
Single-Arm Linear Jammer,shoulders,chest|triceps,barbell,compound,push,vertical_push,3,strength,intermediate,8,8,1.0,7,48,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,neck_injury|rotator_cuff_tear|shoulder_impingement,"Position a bar into a landmine or securely anchor it in a corner. Load the bar to an appropriate weight. | Raise the bar from the floor, taking it to your shoulders with one or both hands. Adopt a wide stance. This will be your starting position. | Perform the movement by extending the elbow, pressing the weight up. Move explosively, extending the hips and knees fully to produce maximal force. | Return to the starting position."
Single-Arm Thruster – Landmine,glutes|quadriceps|shoulders,abdominals|lats|triceps,barbell,compound,,other,3,strength,intermediate,6,6,1.0,3,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Start by placing a barbell into a landmine attachment or securely anchor it into a corner. | Stand with feet shoulder-width apart, holding the unattached end of the barbell with one hand at shoulder height. This is your starting position. | Perform a squat by pushing your hips back, keeping your chest up, and bending your knees until your thighs are parallel to the floor. | Explode upward from the squat position, using leg drive to assist in pressing the barbell overhead. | Extend your arm fully overhead while keeping the opposite arm by your side for balance. | Slowly lower the barbell back to shoulder height, controlling the descent, returning to the starting position. | Repeat for the desired number of repetitions, then switch to the other arm."
Single-Cone Sprint Drill,quadriceps,calves|glutes|hamstrings,other,compound,push,squat,2,plyometrics,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"This drill teaches quick foot action. You need a single cone. Begin standing next to the cone with one arm back and one arm forward. | Chop the feet as quickly as possible, blocking with the arms. Circle the cone, keep your knees up, with violent foot action. | Rest after three trips around the cone."
Single-Leg High Box Squat,quadriceps,glutes|hamstrings,other,compound,push,squat,2,strength,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Position a box in a rack. Secure a band or rope in place above the box. | Standing in front of it, step onto the box to a full standing position, letting your other leg remain unsupported. Hold onto the band for balance | . Continue stepping up and down on the same leg before switching to the opposite side."
Single-Leg Hop Progression,quadriceps,abductors|adductors|calves|hamstrings,other,compound,push,squat,2,plyometrics,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Arrange a line of cones in front of you. Assume a relaxed standing position, balanced on one leg. Raise the knee of your opposite leg. This will be your starting position. | Hop forward, jumping and landing with the same leg over the cone. | Use a countermovement jump to hop from cone to cone. | At the end, turn around and go back on the other leg."
Single-Leg Lateral Hop,quadriceps,abductors|adductors|calves|hamstrings,other,compound,push,squat,2,plyometrics,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Stand to the side of a cone or hurdle. To get into the start position, stand on one leg with your knee slightly bent. | To begin, execute a counterjump to hop sideways over the cone. | Land on your jumping leg, and immediately rebound out of it by jumping back to the start position. | Continue hopping back and forth."
Single-Leg Leg Extension,quadriceps,,machine,isolation,push,knee_extension,2,strength,beginner,1,7,7.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,acl_injury|knee_injury|patellar_tendinitis,"Seat yourself in the machine and adjust it so that you are positioned properly. The pad should be against the lower part of the shin but not in contact with the ankle. Adjust the seat so that the pivot point is in line with your knee. Select a weight appropriate for your abilities. | Maintaining good posture, fully extend one leg, pausing at the top of the motion. | Return to the starting position without letting the weight stop, keeping tension on the muscle. | Repeat for the desired number of repetitions."
Single-Leg Romanian Deadlift Jump,calves|glutes|hamstrings|quadriceps,abdominals|lower back,body only,compound,,hip_hinge,3,strength,intermediate,9,9,1.0,9,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Stand on your right leg, keeping a slight bend in the right knee. Bend your right arm in front of your chest and keep your left arm straight down by your side. This is your starting position. | Lean forward at your hips, extending your left leg behind you for balance. Keep your back straight, bend your left arm bent in front of your chest, and straighten your right arm behind you in rough alignment with your left leg. | Lower your torso and lift your left leg until your body forms a 'T' shape, or go as low as your flexibility allows. | Push through the heel of your right foot and prepare to explode upwards. Thrust your left arm down towards the ground while bringing your right arm up towards your chest to gain momentum for the jump. | Jump upwards, driving force through your right leg and using the motion of your arms to enhance the lift. | Land softly on your right leg, absorbing the impact with a slight bend in your knee, and reset your arms to their starting positions. | Repeat for the desired number of repetitions on one leg before switching to the other."
Single-Leg Romanian Deadlift – Dumbbell,calves|glutes|hamstrings|lower back,traps|quadriceps,dumbbell,compound,,hip_hinge,3,strength,intermediate,10,10,1.0,9,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Begin by standing on one leg, with a slight bend in the knee. Keep your other leg off the ground and behind you. | Hold a dumbbell or kettlebell in the opposite hand of the leg you are standing on. | Brace your core, keep your chest up, and slowly hinge forward at the hips, keeping your back straight and your shoulders down. As you hinge, lift your non-standing leg behind you, keeping it in line with your torso. | Continue lowering the weight until you feel a stretch in your hamstring. Your standing knee should be slightly bent but not locked. | Pause briefly at the bottom of the movement, then slowly reverse the motion by driving your hips forward and standing up tall while bringing your lifted leg back down to the ground. | Repeat for the desired number of repetitions on one leg before switching to the other."
Single-Leg Romanian Deadlift – Landmine,glutes|hamstrings,abdominals|calves|lower back|quadriceps,barbell,compound,,hip_hinge,3,strength,intermediate,10,10,1.0,10,72,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,disc_herniation|lower_back_injury|sciatica,"Stand with your right side facing the end of a barbell secured in a landmine attachment, holding the bar with your right hand using a pronated (overhand) grip. The end of the barbell should be at arms-length in front of your quad. This is your starting position. | Shift your weight onto your left leg, keeping a slight bend in the knee of your standing leg. | Hinge at your hips and lean forward, extending your right leg straight back for balance. | Lower the barbell toward the floor while keeping your back straight and core engaged, ensuring your hips remain square. | Continue lowering until you feel a stretch in the hamstring of the standing leg or your upper body is nearly parallel to the floor. | Drive through the heel of the standing leg to return to the starting position, engaging your glutes as you stand. | Keep your gaze forward and chest lifted throughout the movement to maintain a flat back. | Repeat for the desired number of reps before switching to the opposite leg."
Single-Leg Stride Jump,quadriceps,abductors|adductors|calves|hamstrings,other,compound,push,squat,2,plyometrics,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Stand to the side of a box with your inside foot on top of it, close to the edge. | Begin by swinging the arms upward as you push through the top leg, jumping upward as high as possible. Attempt to drive the opposite knee upward. | Land in the same position that you started, using your inside leg to decelerate the impact."
Single-Leg Tuck-Up,abdominals,,body only,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Start by lying flat on the floor with your arms extended overhead and your legs straight. This is your starting position. | Simultaneously lift one knee towards your chest while crunching upwards, bringing your arms forward to reach past the raised knee towards the foot. | Hold the crunch position briefly, ensuring your core is engaged and your hands are reaching towards the lifting foot. | Slowly lower your arms, upper body, and leg back to the starting position. | Repeat the movement with the opposite leg and alternate sides for the desired number of repetitions."
Single-Leg V-Up,abdominals,,body only,compound,,core_flexion,3,strength,intermediate,3,5,1.67,1,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Lie flat on your back on a mat with your arms extended overhead and your legs fully extended. | Lift one leg towards a 60-degree angle with the floor while simultaneously raising your upper body, reaching your hands towards the raised foot. | Keep both legs straight, with the non-moving leg remaining on the floor. | Contract your abdominals as you lift your body, aiming to touch your toes with your hands. | Hold the V position momentarily, maintaining balance and stability. | Slowly lower your upper body and leg back to the starting position. | Repeat the movement with the other leg, alternating legs with each repetition."
Sit-Up,abdominals,,body only,isolation,pull,core_flexion,2,strength,beginner,1,5,5.0,1,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"Lie down on the floor placing your feet either under something that will not move or by having a partner hold them. Your legs should be bent at the knees. | Place your hands behind your head and lock them together by clasping your fingers. This is the starting position. | Elevate your upper body so that it creates an imaginary V-shape with your thighs. Breathe out when performing this part of the exercise. | Once you feel the contraction for a second, lower your upper body back down to the starting position while inhaling. | Repeat for the recommended amount of repetitions."
Skull Crusher – Barbell,triceps,,barbell,compound,,elbow_extension,3,strength,intermediate,5,7,1.4,1,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Lie down on a flat bench with a barbell in your hands. Your feet should be flat on the floor for stability. | Grip the barbell with an overhand grip (palms facing towards your feet) slightly narrower than shoulder-width apart. | Extend your arms fully so that the barbell is directly above your shoulders. This is your starting position. | Keeping your upper arms stationary, inhale and slowly lower the barbell by bending your elbows until the barbell is just above your forehead. | Pause when the barbell is closest to your forehead, ensuring your elbows are in position and only your forearms are moving. | Exhale and raise the barbell back to the starting position by extending your elbows and contracting the triceps. | Repeat for the desired number of repetitions."
Skull Crusher – Cable with Rope,triceps,forearms,cable,compound,,elbow_extension,3,strength,intermediate,2,6,3.0,0,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Begin by setting a flat bench in front of a cable machine with a low pulley. | Lie down on the bench with your head closest to the cable machine. | Grab the rope with an overhand grip, arms fully extended above your forehead. This is your starting position. | Ensure your elbows are shoulder-width apart and remain in a fixed position throughout the exercise. | Engage your core as you slowly lower the rope towards your forehead by bending your elbows. | Pause briefly once the rope is close to your forehead. | Press back to the starting position by extending your elbows and contracting your triceps. | Repeat for the desired number of repetitions."
Skull Crusher – Dumbbell,triceps,,dumbbell,compound,,elbow_extension,3,strength,intermediate,4,7,1.75,0,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Lie on a bench with your knees bent and feet flat on the ground. Hold a dumbbell in each hand directly above your shoulders with your arms fully extended. | With your palms facing each other, engage your core and keep your wrists straight. | Slowly bend your elbows to lower the dumbbells towards the sides of your forehead. Keep your upper arms stationary and elbows pointing straight up throughout the movement. | Lower the weights until your forearms and biceps are at least at a 90-degree angle. | Pause briefly at the bottom of the movement. | Press the dumbbells back up to the starting position by extending your elbows while exhaling. Focus on using your triceps to move the weight. | Repeat for the desired number of repetitions."
Slam – Medicine Ball,abdominals|lats|shoulders,calves|chest|forearms|glutes|hamstrings|lower back|quadriceps|triceps,medicine ball,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Stand with your feet shoulder-width apart, holding a medicine ball in front of you with both hands. | Begin by raising the medicine ball above your head. As you lift the ball, come onto the balls of your feet, elevating your heels to maximize reach. | From this fully extended position, drive your heels down to the ground as you explosively throw the ball onto the ground in front of you with as much force as possible, engaging your abs, shoulders, and arms. | Squat down to pick up the ball after it bounces, keeping your back straight and chest up. | Return to a standing position and lift the ball above your head again, coming onto your toes to prepare for the next slam. | Repeat the sequence for the desired number of repetitions."
Sled Drag - Harness,quadriceps,calves|glutes|hamstrings,other,compound,push,squat,2,strongman,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"To begin, load the sled with the desired weight and attach the pulling strap. You can pull with handles, use a harness, or attach the pulling strap to a weight belt. | Whether pulling forwards or backwards, lean in the direction of travel and progress by extending through the hips and knees."
Sled Overhead Backward Walk,shoulders,calves|middle back|quadriceps,other,compound,pull,other,2,strength,beginner,4,5,1.25,2,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Attach dual handles to a sled connected by a rope or chain. Load the sled to a light weight. | Face the sled, backing up until there is some tension in the line. Hold your hands directly above your head with your elbows extended. This will be your starting position. | Walk backwards, keeping your arms raised above your head. Avoid jerky movements."
Sled Overhead Triceps Extension,triceps,,other,isolation,push,elbow_extension,2,strength,beginner,1,6,6.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,elbow_tendinitis|tennis_elbow|tricep_tendinitis,"Attach dual handles to a sled using a chain or rope. Load the sled to an appropriate load. | Facing away from the sled, step away until there is tension in the line. Raise your hands above your head, keeping them together, palms facing each other. Your elbows should be pointed upward with the elbows flexed. This will be your starting position. | Extend through the elbow to straighten the arm. Ensure that your upper arm stays in position to isolate the triceps. | Upon full extension, step forward to take the slack out of the line. You may keep your feet staggered for more stability."
Sled Pull,calves|glutes|hamstrings|quadriceps,abdominals|lower back,body only,compound,,other,3,strength,intermediate,4,5,1.25,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,,"Adjust the weight on the sled according to your fitness level and training goals. | If using a pulling harness, strap it on securely, making sure it's comfortably snug. If using straps with handles, grip the handles firmly with both hands. | Stand facing the sled with your feet hip-width apart. Make sure you have a smooth, level, unobstructed path behind you. | Lower into a quarter-squat position, keeping your back straight, and brace your core. | Begin walking backwards slowly, taking small steps while keeping the tension on the harness or handles. | Push through the balls of your feet with each step, focusing on engaging your quadriceps, calves, and glutes. | Keep your chest up and shoulders back throughout the movement to maintain proper posture. | Continue pulling the sled for a number of steps or seconds. | Carefully disengage from the harness or place down the handles."
Sled Push,quadriceps,calves|chest|glutes|hamstrings|triceps,other,compound,push,squat,2,strongman,beginner,8,9,1.12,8,60,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,hip_impingement|knee_injury|lower_back_injury,"Load your pushing sled with the desired weight. | Take an athletic posture, leaning into the sled with your arms fully extended, grasping the handles. Push the sled as fast as possible, focusing on extending your hips and knees to strengthen your posterior chain."
Sled Reverse Flye,shoulders,,other,isolation,pull,shoulder_raise,2,strength,beginner,1,6,6.0,1,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,rotator_cuff_tear|shoulder_impingement,"Attach dual handles to a sled connected by a rope or chain. Load the sled to a light weight. | Face the sled, backing up until there is some tension in the line. Take both handles at arms length at about waist level. Bend the knees slightly and keep your chest and head up. This will be your starting position. | Without flexing the elbow, pull the handles upward and apart, performing a reverse fly with some external rotation. Your palms should be facing forward as you do this. | Return to the starting position, taking a couple steps back to take the slack out of the line."
Sled Row,middle back,biceps|lats,other,compound,pull,horizontal_pull,2,strength,beginner,6,8,1.33,5,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,bicep_tendinitis|lower_back_injury,"Attach dual handles to a sled connected by a rope or chain. Load the sled to an appropriate weight. Face the sled, backing up until there is some tension in the line. | With a handle in each hand, bend the knees slightly, keep your head and chest up, and begin with your arms extended. | To initiate the movement, flex the elbow as you retract your shoulder blades, pulling the sled towards you. | Take a step or two back to get tension in the line and repeat."
Sledgehammer Swings,abdominals,calves|forearms|lats|middle back|shoulders,other,compound,pull,core_flexion,2,plyometrics,beginner,3,5,1.67,1,24,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,diastasis_recti|disc_herniation|lower_back_injury,"You will need a tire and a sledgehammer for this exercise. Stand in front of the tire about two feet away from it with a staggered stance. Grip the sledgehammer. | If you are right handed, your left hand should be at the bottom of the handle, and your right hand should be choking up closer to the head. | As you bring the sledge up, your right hand slides toward the head; as you swing down, your right hand will slide down to join your left hand. Slam it down as hard as you can against the tire. Control the bounce of the hammer off of the tire. | Repeat on the other side."
Smith Incline Shoulder Raise,shoulders,chest,barbell,isolation,push,shoulder_raise,2,strength,beginner,3,6,2.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,rotator_cuff_tear|shoulder_impingement,"Place an incline bench underneath the smith machine. Place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Once the weight you need is selected, lie down on the incline bench and make sure your shoulders are aligned right under the barbell. | Using a shoulder width pronated (palms forward) grip, lift the bar from the rack and hold it straight over you with a slight bend at the elbows. This will be your starting position. | As you breathe out, lift the bar up until your arms are fully extended. Note: The contraction should be felt around the shoulders. | After a second pause, bring the bar back down to the starting position as you breathe in. | Repeat the movement for the prescribed amount of repetitions. | When you are done, place the bar back in the rack."
Smith Machine Behind the Back Shrug,traps,shoulders,machine,isolation,pull,shoulder_raise,2,strength,beginner,1,7,7.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,rotator_cuff_tear|shoulder_impingement,"With the bar at thigh level, load an appropriate weight. | Stand with the bar behind you, taking a shoulder-width, pronated grip on the bar and unhook the weight. You should be standing up straight with your head and chest up and your arms extended. This will be your starting position. | Initiate the movement by shrugging your shoulders straight up. Do not flex the arms or wrist during the movement. | After a brief pause return the weight to the starting position. | Repeat for the desired number of repetitions before engaging the hooks to rack the weight."
Smith Machine Bench Press,chest,shoulders|triceps,machine,compound,push,horizontal_push,2,strength,beginner,4,8,2.0,0,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,pec_tear|rotator_cuff_tear|shoulder_impingement,"Place a flat bench underneath the smith machine. Now place the barbell at a height that you can reach when lying down and your arms are almost fully extended. Once the weight you need is selected, lie down on the flat bench. Using a pronated grip that is wider than shoulder width, unlock the bar from the rack and hold it straight over you with your arms locked. This will be your starting position. | As you breathe in, come down slowly until you feel the bar on your middle chest. | After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up. | Repeat the movement for the prescribed amount of repetitions. | When you are done, lock the bar back in the rack."
Smith Machine Bent Over Row,middle back,biceps|lats|shoulders,machine,compound,pull,horizontal_pull,2,strength,beginner,4,8,2.0,2,36,2,,9,8,7,6,8,3,6,180,4,8,12,90,3,12,20,45,3,15,25,30,3,8,15,60,3,bicep_tendinitis|lower_back_injury,"Set the barbell attached to the smith machine to a height that is about 2 inches below your knees. | Bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. | Now grasp the barbell using an overhand (pronated) grip and unlock it from the smith machine rack. Then let it hang directly in front of you as your arms hang extended perpendicular to the floor and your torso. This is your starting position. | While keeping the torso stationary, lift the barbell as you breathe out, keeping the elbows close to the body and not doing any force with the forearm other than holding the weights. On the top contracted position, squeeze the back muscles and hold for a second. | Slowly lower the weight again to the starting position as you inhale. | Repeat for the recommended amount of repetitions."
Smith Machine Calf Raise,calves,,machine,isolation,push,calf,2,strength,beginner,1,6,6.0,0,24,5,,5,9,7,8,7,6,10,120,3,10,15,60,3,15,25,30,3,20,30,20,2,10,15,60,3,achilles_tendinitis|ankle_injury|plantar_fasciitis,"Place a block or weight plate below the bar on the Smith machine. Set the bar to a position that best matches your height. Once the correct height is chosen and the bar is loaded, step onto the plates with the balls of your feet and place the bar on the back of your shoulders. | Take the bar with both hands facing forward. Rotate the bar to unrack it. This will be your starting position. | Raise your heels as high as possible by pushing off of the balls of your feet, flexing your calf at the top of the contraction. Your knees should remain extended. Hold the contracted position for a second before you start to go back down. | Return slowly to the starting position as you breathe in while lowering your heels. | Repeat for the recommended amount of repetitions."
