name,targetMuscles,bodyParts,equipments,secondaryMuscles,instructions,movement_pattern,difficulty_level,exercise_type,recommended_rep_min,recommended_rep_max,rest_seconds,unilateral,metabolic_load_score
exercise ball one leg prone lower body rotation fierce,glutes,upper legs,stability ball,hamstrings|quadriceps|core,"Step:1 Lie face down on the stability ball with your hips resting on the ball and your legs extended straight behind you. Step:2 Place your hands on the ground in front of you for support. Step:3 Engage your glutes and core muscles to stabilize your body. Step:4 Slowly lift one leg off the ground, keeping it straight and parallel to the floor. Step:5 Rotate your leg outward, away from your body, while keeping your hips and upper body stable. Step:6 Pause for a moment at the end of the rotation, then slowly return your leg to the starting position. Step:7 Repeat the rotation with the other leg. Focus on fierce movement. Step:8 Continue alternating legs for the desired number of repetitions.",general,intermediate,compound,7,12,105,False,3
kettlebell arnold press - beginner variation,delts,shoulders,kettlebell,triceps|upper back,"Step:1 Stand with your feet shoulder-width apart, holding a kettlebell in each hand at shoulder height with your palms facing towards you. Step:2 Engage your core and press the kettlebells overhead, rotating your palms to face forward as you extend your arms. Emphasize beginner control. Step:3 Pause at the top of the movement, then slowly lower the kettlebells back to the starting position. Step:4 Repeat for the desired number of repetitions.",vertical_push,intermediate,compound,7,11,95,False,5
fluid dumbbell step-up lunge,quads,upper legs,dumbbell,glutes|hamstrings|calves,"Step:1 Stand in front of a step or platform with a dumbbell in each hand, palms facing your sides. Step:2 Place your right foot on the step, ensuring your entire foot is on the surface. Step:3 Push through your right heel and lift your body up onto the step, bringing your left foot up as well. Step:4 (fluid variation) Once both feet are on the step, lower your left foot back down to the starting position, keeping your right foot on the step. Step:5 Repeat the movement, alternating which foot you step up with each time. Step:6 Continue for the desired number of repetitions.",lunge,intermediate,compound,6,10,100,True,3
quads complex,quads,upper legs,body weight,hamstrings|glutes,Step:1 Stand with your feet shoulder-width apart. Step:2 Lower your body by bending your knees and pushing your hips back as if sitting on a chair. Step:3 Keep your chest up and your back straight. Step:4 Lower yourself until your thighs are parallel to the ground. Step:5 Push through your heels to return to the starting position. Emphasize complex control. Step:6 Repeat for the desired number of repetitions.,general,intermediate,compound,6,10,118,False,6
lever assisted chin-up with twisted,lats,back,leverage machine,biceps|forearms,"Step:1 Adjust the leverage machine to your desired resistance level. Step:2 Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart. Step:3 Hang with your arms fully extended, keeping your body straight. Step:4 (twisted variation) Engage your back muscles and pull your body up towards the handles, leading with your chest. Step:5 Continue pulling until your chin is above the handles. Step:6 Pause for a moment at the top, then slowly lower your body back down to the starting position. Step:7 Repeat for the desired number of repetitions.",general,beginner,compound,7,11,111,False,7
push up on bosu ball with improved,pectorals,chest,bosu ball,triceps|shoulders|core,Step:1 Place the bosu ball on the ground with the flat side facing up. Step:2 Position yourself in a push-up position with your hands on the outer edges of the bosu ball. Step:3 Engage your core and lower your body down towards the bosu ball by bending your elbows. Focus on improved movement. Step:4 Push yourself back up to the starting position by extending your arms. Step:5 Repeat for the desired number of repetitions.,general,intermediate,compound,6,10,120,False,6
dynamic style barbell lying back of the head tricep extension,triceps,upper arms,barbell,shoulders,"Step:1 Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Step:2 Hold a barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Step:3 Keeping your upper arms stationary, slowly lower the barbell behind your head by bending your elbows. Maintain dynamic form throughout. Step:4 Pause for a moment, then extend your arms back up to the starting position. Step:5 Repeat for the desired number of repetitions.",isolation,advanced,isolation,12,15,45,False,6
deep smith machine reverse decline close grip bench press,pectorals,chest,smith machine,triceps|shoulders,"Step:1 Adjust the smith machine to a decline position. Step:2 Lie down on the bench with your feet secured under the foot pads. Step:3 Grasp the barbell with a close grip, slightly narrower than shoulder-width apart. Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in. Focus on deep movement. Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position. Step:6 Repeat for the desired number of repetitions.",vertical_push,beginner,compound,6,12,107,False,5
hanging straight leg raise with elevated,abs,waist,body weight,hip flexors,"Step:1 Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Step:2 Engage your core and lift your legs up in front of you, keeping them straight. Step:3 Continue lifting until your legs are parallel to the ground or as high as you can comfortably go. Maintain elevated form throughout. Step:4 Pause for a moment at the top, then slowly lower your legs back down to the starting position. Step:5 Repeat for the desired number of repetitions.",general,intermediate,isolation,10,12,65,False,6
upright smith incline bench press,pectorals,chest,smith machine,shoulders|triceps,"Step:1 Adjust the bench to a 30-45 degree incline. Step:2 Sit on the bench with your back flat against the pad and feet firmly on the ground. Step:3 Grasp the barbell with an overhand grip slightly wider than shoulder-width apart. Perform with upright intensity. Step:4 Unrack the barbell and lower it slowly towards your upper chest, keeping your elbows slightly tucked in. Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position, fully extending your arms. Step:6 Repeat for the desired number of repetitions.",vertical_push,beginner,compound,8,10,104,False,6
extended style inverted row,upper back,back,body weight,biceps|forearms,"Step:1 Set up a bar at waist height or use a suspension trainer. Step:2 Stand facing the bar or suspension trainer, with your feet shoulder-width apart. Step:3 Grab the bar or handles with an overhand grip, slightly wider than shoulder-width apart. Step:4 Lean back, keeping your body straight and your heels on the ground. Step:5 Pull your chest towards the bar or handles, squeezing your shoulder blades together. Step:6 Pause for a moment at the top, then slowly lower yourself back to the starting position. Step:7 Repeat for the desired number of repetitions. Perform with extended intensity.",horizontal_pull,intermediate,compound,8,12,97,False,6
dumbbell one arm fly on exercise ball improved,pectorals,chest,dumbbell,shoulders|triceps,"Step:1 Sit on an exercise ball with a dumbbell in one hand and your feet flat on the ground. Step:2 Walk your feet forward and roll your body down until your upper back is resting on the exercise ball. Step:3 Extend your arm with the dumbbell straight up above your chest, palm facing inwards. Step:4 Slowly lower the dumbbell out to the side, keeping a slight bend in your elbow. Step:5 Pause for a moment, then squeeze your chest muscles to bring the dumbbell back to the starting position. Step:6 Repeat for the desired number of repetitions, then switch arms. Focus on improved movement.",general,intermediate,isolation,10,14,75,False,6
hanging straight twisting leg hip raise with compound,abs,waist,body weight,obliques|hip flexors,"Step:1 Hang from a pull-up bar with your arms fully extended and your legs straight. Step:2 Engage your core and lift your legs up towards your chest, keeping them straight. Perform with compound intensity. Step:3 Once your legs are parallel to the ground, twist your hips to one side, bringing your legs towards that side. Step:4 Pause for a moment, then return to the starting position. Step:5 Repeat the movement, but this time twist your hips to the opposite side. Step:6 Continue alternating sides for the desired number of repetitions.",general,intermediate,isolation,12,12,74,False,3
fast band straight leg deadlift,spine,back,band,hamstrings|glutes,"Step:1 Stand with your feet shoulder-width apart and place the band around your feet. Step:2 Hold the band with both hands, palms facing your body, and keep your arms straight. Step:3 Engage your core and maintain a slight bend in your knees. Step:4 Slowly hinge forward at your hips, keeping your back straight and chest lifted. Step:5 Lower the band towards the ground while keeping your legs straight. Step:6 Pause for a moment at the bottom, then squeeze your glutes and hamstrings to return to the starting position. Step:7 Repeat for the desired number of repetitions. Perform with fast intensity.",hinge,intermediate,compound,7,11,115,False,5
cable lateral pulldown (with rope attachment) core,lats,back,cable,biceps|forearms,"Step:1 Attach a rope attachment to the cable machine at a high position. Step:2 Stand facing the machine with your feet shoulder-width apart. Step:3 Grasp the rope with an overhand grip, palms facing each other. Step:4 Keep your back straight and lean slightly back. Step:5 Pull the rope down towards your sides, squeezing your shoulder blades together. Emphasize core control. Step:6 Pause for a moment at the bottom of the movement. Step:7 Slowly release the tension and allow the rope to return to the starting position. Step:8 Repeat for the desired number of repetitions.",vertical_pull,intermediate,compound,6,11,101,False,5
dumbbell around pullover - intensive variation,pectorals,chest,dumbbell,triceps|latissimus dorsi,"Step:1 Lie flat on a bench with your head at one end and your feet firmly on the ground. Step:2 Hold a dumbbell with both hands and extend your arms straight above your chest. Perform with intensive intensity. Step:3 Keeping your arms straight, slowly lower the dumbbell behind your head in an arc motion. Step:4 Pause for a moment at the bottom, then raise the dumbbell back to the starting position. Step:5 Repeat for the desired number of repetitions.",vertical_pull,intermediate,compound,6,11,91,False,5
sit-up with arms on chest with mini,abs,waist,body weight,hip flexors,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground. Step:2 Cross your arms over your chest. Step:3 Engaging your abs, lift your upper body off the ground towards your knees. Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Maintain mini form throughout. Step:5 Repeat for the desired number of repetitions.",general,intermediate,compound,6,11,111,False,3
squared reverse grip machine lat pulldown,lats,back,leverage machine,biceps|forearms,"Step:1 Adjust the seat height and position yourself on the machine with your knees under the pads and your feet flat on the ground. Step:2 Grasp the handles with an underhand grip, slightly wider than shoulder-width apart. Step:3 Sit upright with your chest out and shoulders back, maintaining a slight arch in your lower back. Step:4 Pull the handles down towards your chest, squeezing your shoulder blades together. Maintain squared form throughout. Step:5 Pause for a moment at the bottom of the movement, then slowly release the handles back to the starting position. Step:6 Repeat for the desired number of repetitions.",vertical_pull,beginner,compound,8,12,112,False,3
targeted style single leg calf raise (on a dumbbell),calves,lower legs,dumbbell,ankles|feet,"Step:1 Stand with your feet hip-width apart and hold a dumbbell in one hand. Step:2 Lift one foot off the ground and balance on the other foot. Step:3 Slowly raise your heel as high as possible, using your calf muscles. Emphasize targeted control. Step:4 Pause for a moment at the top, then slowly lower your heel back down. Step:5 Repeat for the desired number of repetitions, then switch to the other leg.",general,intermediate,isolation,12,15,56,False,5
chest and front of shoulder stretch micro,pectorals,chest,body weight,deltoids,"Step:1 Stand tall with your feet shoulder-width apart. Step:2 Extend your arms straight out in front of you at shoulder height. Step:3 Cross your arms in front of your body, with your right arm on top of your left arm. Step:4 Interlace your fingers and press your palms together. Step:5 Gently squeeze your shoulder blades together and push your hands forward, feeling a stretch in your chest and front of your shoulders. Step:6 (micro variation) Hold the stretch for 20-30 seconds, then release. Step:7 Repeat for the desired number of repetitions.",general,intermediate,compound,8,10,96,False,7
kettlebell seated press with high,delts,shoulders,kettlebell,triceps|core,"Step:1 Sit on a bench with your back straight and feet flat on the ground. Step:2 Hold a kettlebell in each hand at shoulder height, palms facing forward. Step:3 Press the kettlebells overhead, fully extending your arms. Focus on high movement. Step:4 Lower the kettlebells back to shoulder height. Step:5 Repeat for the desired number of repetitions.",vertical_push,intermediate,compound,7,10,91,False,3
barbell squat (on knees) with pure,quads,upper legs,barbell,glutes|hamstrings|calves,"Step:1 Start by kneeling on the ground with your knees hip-width apart and your toes pointing forward. Step:2 Place a barbell across your shoulders, gripping it with an overhand grip and your hands slightly wider than shoulder-width apart. Step:3 Engage your core and keep your chest lifted as you slowly lower your body down by bending your knees, keeping your back straight. Perform with pure intensity. Step:4 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Step:5 Pause for a moment at the bottom, then push through your heels to return to the starting position. Step:6 Repeat for the desired number of repetitions.",squat,advanced,compound,8,10,97,False,7
tough cable one arm lateral raise,delts,shoulders,cable,traps|triceps,"Step:1 Stand with your feet shoulder-width apart, facing the cable machine. Step:2 Hold the cable handle with one hand, palm facing down, and stand far enough away from the machine so that there is tension on the cable. Step:3 Keep your arm straight and slowly raise it out to the side until it is parallel to the ground. Step:4 Pause for a moment at the top, then slowly lower your arm back down to the starting position. Focus on tough movement. Step:5 Repeat for the desired number of repetitions, then switch sides.",general,intermediate,isolation,11,12,68,False,6
kipping muscle up with triple,lats,back,body weight,biceps|triceps|shoulders|core,"Step:1 Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart. Step:2 Engage your core and use a swinging motion to generate momentum. Step:3 As you swing forward, pull your chest towards the bar, using your lats and biceps to initiate the movement. Emphasize triple control. Step:4 Continue the upward motion until your chest reaches the bar, then transition into a dip position by pushing down on the bar and extending your arms. Step:5 Lower yourself back down to the starting position by bending your arms and controlling the descent. Step:6 Repeat for the desired number of repetitions.",general,intermediate,compound,6,12,111,False,3
intermediate style kneeling plank tap shoulder (male),abs,waist,body weight,shoulders|triceps,"Step:1 Start in a kneeling position with your hands on the ground, shoulder-width apart. Step:2 Extend your legs behind you, resting on your toes, and lift your body into a plank position. Step:3 (intermediate variation) Keeping your core engaged and your hips stable, lift one hand off the ground and tap the opposite shoulder. Step:4 Return the hand to the ground and repeat with the other hand. Step:5 Continue alternating sides for the desired number of repetitions.",core_stability,intermediate,compound,6,12,116,False,4
intensified style kettlebell extended range one arm press on floor,pectorals,chest,kettlebell,triceps|shoulders,"Step:1 Start by lying on your back on the floor with your knees bent and feet flat on the ground. Step:2 Hold a kettlebell in one hand, with your palm facing towards your feet. Step:3 Extend your arm straight up towards the ceiling, keeping your elbow locked and your wrist straight. Step:4 Slowly lower the kettlebell back down to the starting position, maintaining control throughout the movement. Step:5 Repeat for the desired number of repetitions, then switch to the other arm. Perform with intensified intensity.",vertical_push,intermediate,compound,8,11,110,False,7
supine style band alternating v-up,abs,waist,band,hip flexors,"Step:1 Lie flat on your back with your legs straight and your arms extended overhead, holding the band. Step:2 Engage your abs and lift your legs and upper body off the ground simultaneously, reaching your hands towards your toes. Step:3 As you lower your legs and upper body back down, switch the position of your legs, crossing one over the other. Focus on supine movement. Step:4 Repeat the movement, alternating the position of your legs with each repetition. Step:5 Continue for the desired number of repetitions.",general,intermediate,compound,7,11,99,False,7
assisted standing triceps extension (with towel) with horizontal,triceps,upper arms,assisted,shoulders,"Step:1 Stand with your feet shoulder-width apart and hold a towel with both hands behind your head. Step:2 Keep your elbows close to your ears and your upper arms stationary. Step:3 (horizontal variation) Slowly extend your forearms upward, squeezing your triceps at the top. Step:4 Pause for a moment, then slowly lower the towel back down to the starting position. Step:5 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,10,12,60,False,3
wall style dumbbell one arm french press on exercise ball,triceps,upper arms,dumbbell,shoulders,"Step:1 Sit on an exercise ball with your feet flat on the ground and your back straight. Step:2 Hold a dumbbell in one hand with your palm facing up and your elbow bent at a 90-degree angle. Focus on wall movement. Step:3 Extend your arm straight up towards the ceiling, keeping your elbow stationary. Step:4 Slowly lower the dumbbell back down to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",vertical_push,intermediate,compound,8,12,109,False,4
side-to-side chin with reverse,lats,back,body weight,biceps|forearms,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. Step:2 Grasp a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart. Step:3 Hang from the bar with your arms fully extended and your body relaxed. Step:4 Pull yourself up by bending your elbows and bringing your chin towards the bar, while keeping your body straight. Perform with reverse intensity. Step:5 Once your chin is above the bar, lower yourself back down to the starting position. Step:6 Repeat for the desired number of repetitions.",general,intermediate,compound,6,12,115,False,5
macro style close-grip push-up,triceps,upper arms,body weight,chest|shoulders,"Step:1 Start in a high plank position with your hands placed close together, directly under your shoulders. Step:2 Engage your core and lower your body towards the ground, keeping your elbows close to your sides. Step:3 Push through your palms to extend your arms and return to the starting position. Maintain macro form throughout. Step:4 Repeat for the desired number of repetitions.",general,intermediate,compound,6,10,91,False,6
gentle prone twist on stability ball,abs,waist,stability ball,obliques|lower back,"Step:1 Start by lying face down on a stability ball with your feet shoulder-width apart and your toes touching the ground. Step:2 Place your hands behind your head or cross them over your chest. Step:3 Engage your core muscles and slowly lift your upper body off the ball, keeping your back straight. Step:4 Rotate your torso to one side, bringing your shoulder towards your hip. Keep your hips and legs stable throughout the movement. Step:5 Pause for a moment, then return to the starting position. Step:6 (gentle variation) Repeat the rotation to the other side. Step:7 Continue alternating sides for the desired number of repetitions.",general,intermediate,compound,8,11,111,False,7
cable rope incline tricep extension - reverse variation,triceps,upper arms,cable,shoulders,"Step:1 Attach a rope to a high pulley and adjust the incline bench to a comfortable angle. Step:2 Stand facing away from the pulley with your feet shoulder-width apart. Step:3 Grasp the rope with an overhand grip and extend your arms straight overhead. Step:4 (reverse variation) Keep your elbows close to your head and your upper arms stationary throughout the exercise. Step:5 Lower the rope behind your head by bending your elbows until your forearms touch your biceps. Step:6 Pause for a moment, then extend your arms back to the starting position. Step:7 Repeat for the desired number of repetitions.",isolation,intermediate,isolation,11,12,59,False,6
cable squat row (with rope attachment) heavy,lats,back,cable,biceps|rhomboids|rear deltoids,"Step:1 Attach a rope to a cable machine at waist height. Step:2 Stand facing the cable machine with your feet shoulder-width apart. Step:3 (heavy variation) Bend your knees and lower your body into a squat position, keeping your back straight and chest up. Step:4 Grasp the rope with an overhand grip, with your hands shoulder-width apart. Step:5 Engage your core and pull the rope towards your body, squeezing your shoulder blades together. Step:6 Keep your elbows close to your body and continue pulling until your hands reach your chest. Step:7 Pause for a moment at the top of the movement, then slowly release the rope and extend your arms back to the starting position. Step:8 Repeat for the desired number of repetitions.",squat,intermediate,compound,6,12,110,False,7
band vertical pallof press - seated variation,abs,waist,band,obliques|glutes,"Step:1 Stand with your feet shoulder-width apart and wrap the band around a sturdy object at chest height. Step:2 Hold the band with both hands and step away from the anchor point, creating tension in the band. Step:3 Position yourself perpendicular to the anchor point, with your side facing the band. Step:4 Extend your arms straight out in front of you, keeping your hands at chest height. Step:5 Engage your core and press the band away from your chest, fully extending your arms. Step:6 Hold the position for a few seconds, then slowly bring the band back towards your chest. Step:7 Repeat for the desired number of repetitions, then switch sides. Perform with seated intensity.",vertical_push,intermediate,compound,8,10,117,False,5
barbell reverse wrist curl - prone variation,forearms,lower arms,barbell,biceps|brachialis,"Step:1 Sit on a bench with your feet flat on the ground and hold a barbell with an overhand grip, palms facing down. Step:2 Rest your forearms on your thighs, allowing your wrists to hang off the edge. Step:3 Slowly curl your wrists upward, bringing the barbell towards your body. Emphasize prone control. Step:4 Pause for a moment at the top, then slowly lower the barbell back down to the starting position. Step:5 Repeat for the desired number of repetitions.",isolation,advanced,isolation,11,12,50,False,7
firm style hanging oblique knee raise,abs,waist,body weight,obliques,"Step:1 Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Step:2 Engage your core and lift your knees towards your chest, twisting your torso to the side as you do so. Step:3 Pause for a moment at the top, then slowly lower your legs back down to the starting position. Step:4 Repeat on the other side, twisting your torso in the opposite direction. Step:5 Continue alternating sides for the desired number of repetitions. Emphasize firm control.",general,intermediate,isolation,10,12,64,False,6
horizontal dumbbell standing alternate overhead press,delts,shoulders,dumbbell,triceps|core,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in each hand at shoulder level with your palms facing forward. Step:2 (horizontal variation) Press one dumbbell overhead, fully extending your arm. Step:3 Lower the dumbbell back to shoulder level. Step:4 Repeat with the other arm. Step:5 Continue alternating arms for the desired number of repetitions.",vertical_push,intermediate,compound,7,12,107,False,5
explosive abductors row,abductors,neck,Weighted,hip flexors,"Step:1 Stand in a stable position preparing to perform the 'Explosive Abductors Row'. Step:2 Grab the Weighted securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the abductors. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: hip flexors. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",horizontal_pull,intermediate,compound,7,12,99,False,3
kettlebell quads curl,quads,neck,Lever (plate loaded),rotator cuff,"Step:1 Stand in a stable position preparing to perform the 'Kettlebell Quads Curl'. Step:2 Grab the Lever (plate loaded) securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the quads. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: rotator cuff. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",isolation,intermediate,isolation,12,12,70,False,6
decline triceps squat,triceps,waist,Lever (selectorized)  Chest Dip,lower back,"Step:1 Stand in a stable position preparing to perform the 'Decline Triceps Squat'. Step:2 Grab the Lever (selectorized)  Chest Dip securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the triceps. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: lower back. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",squat,intermediate,compound,8,12,114,False,5
seated traps squat,traps,waist,medicine ball,deltoids,"Step:1 Stand in a stable position preparing to perform the 'Seated Traps Squat'. Step:2 Grab the medicine ball securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the traps. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: deltoids. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",squat,intermediate,compound,6,11,102,False,6
incline adductors raise,adductors,neck,Machine,ankle stabilizers,"Step:1 Stand in a stable position preparing to perform the 'Incline Adductors Raise'. Step:2 Grab the Machine securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the adductors. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: ankle stabilizers. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",general,beginner,isolation,11,12,45,False,5
cable lats lunge,lats,upper legs,Assisted (partner),abdominals,"Step:1 Stand in a stable position preparing to perform the 'Cable Lats Lunge'. Step:2 Grab the Assisted (partner) securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the lats. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: abdominals. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",lunge,intermediate,compound,8,10,92,True,6
advanced cardiovascular system curl,cardiovascular system,lower legs,Lever (selectorized)  Chest Dip,rhomboids,"Step:1 Stand in a stable position preparing to perform the 'Advanced Cardiovascular System Curl'. Step:2 Grab the Lever (selectorized)  Chest Dip securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the cardiovascular system. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: rhomboids. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",isolation,intermediate,isolation,12,12,45,False,4
seated upper back row,upper back,shoulders,Lever (selectorized)​​​​​​​,traps,"Step:1 Stand in a stable position preparing to perform the 'Seated Upper Back Row'. Step:2 Grab the Lever (selectorized)​​​​​​​ securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the upper back. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: traps. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",horizontal_pull,intermediate,compound,6,10,102,False,3
kettlebell lats curl,lats,lower arms,Band-assisted,sternocleidomastoid,"Step:1 Stand in a stable position preparing to perform the 'Kettlebell Lats Curl'. Step:2 Grab the Band-assisted securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the lats. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: sternocleidomastoid. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",isolation,intermediate,isolation,10,15,66,False,7
incline triceps lunge,triceps,lower legs,Lever (selectorized)​​​​​​​,traps,"Step:1 Stand in a stable position preparing to perform the 'Incline Triceps Lunge'. Step:2 Grab the Lever (selectorized)​​​​​​​ securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the triceps. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: traps. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",lunge,intermediate,compound,7,12,118,True,6
standing abs press,abs,lower legs,Lever (selectorized),deltoids,"Step:1 Stand in a stable position preparing to perform the 'Standing Abs Press'. Step:2 Grab the Lever (selectorized) securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the abs. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: deltoids. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",vertical_push,intermediate,compound,6,10,107,False,6
incline levator scapulae lunge,levator scapulae,chest,body weight,lats,"Step:1 Stand in a stable position preparing to perform the 'Incline Levator Scapulae Lunge'. Step:2 Position your body using only your body weight and ensure stable footing. Step:3 Execute the main movement: focus on controlled motion targeting the levator scapulae. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: lats. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",lunge,intermediate,compound,7,10,109,True,4
advanced abs curl,abs,upper arms,Barbell,quadriceps,"Step:1 Stand in a stable position preparing to perform the 'Advanced Abs Curl'. Step:2 Grab the Barbell securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the abs. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: quadriceps. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",isolation,advanced,isolation,12,12,52,False,6
standing abductors curl,abductors,lower arms,elliptical machine,soleus,"Step:1 Stand in a stable position preparing to perform the 'Standing Abductors Curl'. Step:2 Grab the elliptical machine securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the abductors. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: soleus. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",isolation,beginner,isolation,11,13,72,False,6
kettlebell abs raise,abs,upper arms,Assisted  Chest Dip,wrists,"Step:1 Stand in a stable position preparing to perform the 'Kettlebell Abs Raise'. Step:2 Grab the Assisted  Chest Dip securely and set up your stance according to proper form. Step:3 Execute the main movement: focus on controlled motion targeting the abs. Step:4 Maintain a controlled tempo, exhale during the exertion phase and inhale during the return. Step:5 Keep a neutral spine, engage your core, and avoid locking joints at full extension. Step:6 Repeat for desired repetitions, starting with 8–12 reps for general strength or adjust as needed. Step:7 Secondary muscles engaged: wrists. Step:8 After finishing, perform a brief cool-down and stretch the worked muscles.",general,intermediate,isolation,11,12,58,False,7
