Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Protein Bar Low-Carb (Extra Large portion),Supplement/Processed,318,34.2,36.5,10.7,10.7,17.6,394,0,Snack,100,"high-protein,gluten-free",Summer,Baked,Extra Large
Almonds High-Fiber (Small portion),Nut,117,4.4,4.1,9.7,0.8,1.2,160,0,Snack,0,"low-carb,gluten-free",Spring,Roasted,Small
Scrambled Eggs Spicy (Standard portion),Protein/Dairy,81,5.9,1.1,7,0.3,0.5,192,123,Breakfast,350,"low-carb,gluten-free",Fall,Roasted,Standard
Stir Fry Tofu with Avocado (Small portion),Meal/Vegetarian,256,13.6,20.7,15.2,2.4,8.1,492,0,Dinner,250,"vegetarian,vegan,gluten-free",All Year,Raw,Small
Quinoa Bowl Light (Extra Large portion),Meal/Grain,689,25.4,85.5,17.6,23.2,26.3,740,0,Lunch,250,"high-protein,gluten-free",Fall,Roasted,Extra Large
Hummus Italian Style (Large portion),Legume,92,2.5,4.9,6.7,0.6,1.2,180,0,Snack,150,"low-carb,gluten-free",Fall,Baked,Large
Beef Steak High-Fiber (Small portion),Protein/Meat,191,26.6,0,7.4,0,0,124,66,Dinner,250,"high-protein,low-carb,gluten-free",Fall,Steamed,Small
Beef Steak Mexican Style (Standard portion),Protein/Meat,245,39.7,0,10.1,0,0,168,66,Dinner,500,"high-protein,low-carb,gluten-free",Spring,Roasted,Standard
Protein Bar High-Fiber (Extra Large portion),Supplement/Processed,316,31.7,33.1,12.1,9.5,13.3,877,0,Snack,100,"high-protein,gluten-free",Fall,Boiled,Extra Large
Salmon with Vegetables (Extra Large portion),Protein/Fish,352,37.7,0,23.6,0,0,240,166,Dinner,300,"high-protein,low-carb,gluten-free",Spring,Steamed,Extra Large
Vegetable Curry Low-Carb (Small portion),Meal/Vegetable,222,6.7,28.1,9.6,6.1,6.1,761,0,Dinner,400,gluten-free,Spring,Raw,Small
Apple High-Fiber (Small portion),Fruit,65,0.4,17.5,0.2,3.5,5.6,117,0,Snack,100,gluten-free,Summer,Baked,Small
Beef Steak (Extra Large portion),Protein/Meat,472,69.4,0,15.3,0,0,231,183,Dinner,400,"high-protein,low-carb,gluten-free",Winter,Steamed,Extra Large
Cottage Cheese Italian Style (Small portion),Dairy,62,8.6,3.8,2.3,0.4,0.8,47,58,Snack,150,"low-carb,gluten-free",Fall,Raw,Small
Lentil Soup with Vegetables (Small portion),Meal/Legume,149,11.4,23,2,4,6.8,395,0,Lunch,350,gluten-free,All Year,Baked,Small
Spaghetti Bolognese Italian Style (Large portion),Meal/Pasta,541,25,68.3,22.4,15,23.5,499,0,Dinner,400,"high-protein,gluten-free",Summer,Steamed,Large
Turkey Sandwich Low-Carb (Standard portion),Meal/Processed,308,23.1,31.8,11.3,6.1,11.5,1048,125,Lunch,350,"high-protein,gluten-free",Winter,Boiled,Standard
Scrambled Eggs Italian Style (Standard portion),Protein/Dairy,85,6.6,0.9,7.3,0.2,0.2,127,154,Breakfast,350,"low-carb,gluten-free",All Year,Steamed,Standard
Veggie Burger Low-Carb (Extra Large portion),Protein/Vegetarian,203,17.3,16.8,7,2.4,5.2,63,0,Lunch,500,"vegetarian,vegan,gluten-free",Winter,Raw,Extra Large
Banana with Avocado (Large portion),Fruit,123,1.6,33,0.5,4.7,10.1,283,0,Breakfast,300,gluten-free,Spring,Steamed,Large
Stir Fry Tofu (Extra Large portion),Meal/Vegetarian,606,31.7,50.9,32.9,11.5,19.8,607,0,Dinner,350,"high-protein,vegetarian,vegan",All Year,Raw,Extra Large
Lentil Soup with Avocado (Standard portion),Meal/Legume,247,15.9,33.4,3.1,6.7,9.1,779,0,Lunch,350,gluten-free,Summer,Grilled,Standard
Whole Wheat Toast with Vegetables (Small portion),Grain,55,3,9.7,0.7,1.2,4,65,0,Breakfast,350,"low-carb,gluten-free",Spring,Grilled,Small
Protein Shake Mexican Style (Small portion),Supplement,91,16.9,1.9,0.7,0.5,0.9,190,0,Breakfast,350,"low-carb,gluten-free",Summer,Roasted,Small
Whole Wheat Toast (Large portion),Grain,106,5,18.1,1.3,3.6,5.1,15,0,Breakfast,300,gluten-free,All Year,Roasted,Large
Scrambled Eggs with Vegetables (Small portion),Protein/Dairy,61,4.2,0.7,4.8,0.2,0.3,280,103,Breakfast,400,"low-carb,gluten-free",Fall,Steamed,Small
Avocado Toast Spicy (Large portion),Meal/Vegetarian,329,9.5,36.6,17.8,8.9,7.9,677,0,Breakfast,400,"vegetarian,gluten-free",All Year,Roasted,Large
Salmon (Large portion),Protein/Fish,304,32.7,0,17.3,0,0,255,72,Dinner,250,"high-protein,low-carb,gluten-free",Summer,Boiled,Large
Scrambled Eggs Mediterranean Style (Small portion),Protein/Dairy,58,3.8,0.8,5.2,0.2,0.3,37,74,Breakfast,400,"low-carb,gluten-free",Summer,Grilled,Small
Veggie Burger with Vegetables (Large portion),Protein/Vegetarian,169,15.7,14.1,5.7,4.2,6.4,152,0,Lunch,350,"vegetarian,vegan,gluten-free",All Year,Roasted,Large
Stir Fry Tofu with Cheese (Large portion),Meal/Vegetarian,510,24,39.7,29.1,11.6,15.5,333,0,Dinner,500,"high-protein,vegetarian,vegan",Winter,Roasted,Large
Scrambled Eggs High-Fiber (Extra Large portion),Protein/Dairy,151,10.2,1.7,12,0.2,0.4,131,151,Breakfast,300,"low-carb,gluten-free",Winter,Roasted,Extra Large
Quinoa Bowl with Cheese (Small portion),Meal/Grain,291,10.3,37.8,7.9,6,15.9,480,0,Lunch,400,gluten-free,Winter,Grilled,Small
Beef Steak with Vegetables (Standard portion),Protein/Meat,245,39.9,0,9.2,0,0,43,34,Dinner,300,"high-protein,low-carb,gluten-free",Fall,Baked,Standard
Oatmeal with Avocado (Large portion),Grain,102,3.7,17.6,2,3.7,6.7,230,0,Breakfast,250,gluten-free,Summer,Roasted,Large
Protein Bar Mediterranean Style (Large portion),Supplement/Processed,259,25.2,31.2,9.9,5,13.7,717,0,Snack,0,"high-protein,gluten-free",Summer,Raw,Large
Oatmeal High-Fiber (Large portion),Grain,107,4,17.2,2.1,2.6,3.7,15,0,Breakfast,400,gluten-free,Summer,Boiled,Large
Oatmeal Mexican Style (Small portion),Grain,59,2,10.5,1,1.9,5.2,285,0,Breakfast,250,gluten-free,All Year,Steamed,Small
Apple Asian Style (Large portion),Fruit,112,0.6,29.8,0.4,3,7.8,82,0,Snack,0,gluten-free,Spring,Baked,Large
Banana High-Fiber (Extra Large portion),Fruit,155,2.3,44.3,0.7,6,14.3,99,0,Breakfast,400,gluten-free,Spring,Boiled,Extra Large
Spaghetti Bolognese Italian Style (Standard portion),Meal/Pasta,446,19.6,56.4,17.2,5.8,26.9,266,0,Dinner,400,gluten-free,Fall,Boiled,Standard
Almonds High-Fiber (Large portion),Nut,214,8.4,7.5,17.5,2,2.5,44,0,Snack,100,"low-carb,gluten-free",Winter,Baked,Large
Cottage Cheese (Large portion),Dairy,111,15.6,6.7,3.9,0.7,2.9,215,175,Snack,200,"low-carb,gluten-free",Spring,Roasted,Large
Cottage Cheese Extra Protein (Small portion),Dairy,57,7.8,3.5,2.1,0.5,0.9,37,20,Snack,100,"low-carb,gluten-free",All Year,Steamed,Small
Scrambled Eggs Extra Protein (Standard portion),Protein/Dairy,83,6.5,1,7.2,0.3,0.2,139,184,Breakfast,250,"low-carb,gluten-free",All Year,Raw,Standard
Apple with Cheese (Small portion),Fruit,68,0.4,18,0.2,4.6,5.1,297,0,Snack,100,gluten-free,Fall,Raw,Small
Whole Wheat Toast with Avocado (Extra Large portion),Grain,115,6.8,20.2,1.6,5.7,7.6,107,0,Breakfast,500,gluten-free,Summer,Steamed,Extra Large
Turkey Sandwich (Extra Large portion),Meal/Processed,573,36,49.5,18.1,5.9,12.5,527,110,Lunch,400,"high-protein,gluten-free",All Year,Baked,Extra Large
Protein Shake Extra Protein (Standard portion),Supplement,112,23.9,3,1.1,0.6,1.1,185,0,Breakfast,500,"high-protein,low-carb,gluten-free",Spring,Raw,Standard
Salmon Spicy (Large portion),Protein/Fish,304,31.9,0,19.4,0,0,270,47,Dinner,500,"high-protein,low-carb,gluten-free",Fall,Baked,Large
Quinoa Bowl with Cheese (Large portion),Meal/Grain,532,18,64.8,17.1,12.9,20.1,234,0,Lunch,400,gluten-free,Summer,Boiled,Large
Whole Wheat Toast Mexican Style (Standard portion),Grain,85,4.1,12.9,1,3.7,3.7,258,0,Breakfast,350,gluten-free,All Year,Boiled,Standard
Chicken Breast Mexican Style (Extra Large portion),Protein/Meat,302,60.6,0,6.1,0,0,142,156,Dinner,500,"high-protein,low-carb,gluten-free",Fall,Raw,Extra Large
Vegetable Curry Mexican Style (Large portion),Meal/Vegetable,395,13.1,47.8,19.9,11.3,22.2,725,0,Dinner,500,gluten-free,Winter,Roasted,Large
Protein Shake (Small portion),Supplement,77,18.4,1.9,0.7,0.5,0.7,38,0,Breakfast,300,"low-carb,gluten-free",Winter,Raw,Small
Protein Shake Asian Style (Extra Large portion),Supplement,202,41.3,4.8,1.7,0.7,2,120,0,Breakfast,350,"high-protein,low-carb,gluten-free",Fall,Baked,Extra Large
Vegetable Curry with Avocado (Small portion),Meal/Vegetable,213,7.1,28.2,9.5,5.4,11.5,680,0,Dinner,300,gluten-free,All Year,Boiled,Small
Spaghetti Bolognese Light (Large portion),Meal/Pasta,553,24.3,78.3,22,18.9,27.4,365,0,Dinner,350,"high-protein,gluten-free",All Year,Roasted,Large
Banana Italian Style (Small portion),Fruit,68,1,19.7,0.3,2.1,9.8,103,0,Breakfast,500,gluten-free,Fall,Steamed,Small
Stir Fry Tofu Mediterranean Style (Standard portion),Meal/Vegetarian,360,16.3,32.2,22.9,9.2,7.4,456,0,Dinner,250,"vegetarian,vegan,gluten-free",Winter,Baked,Standard
Protein Bar Light (Extra Large portion),Supplement/Processed,325,32.6,37.6,10.4,11.2,14.2,834,0,Snack,200,"high-protein,gluten-free",Summer,Steamed,Extra Large
Quinoa Bowl (Standard portion),Meal/Grain,386,13.9,59.6,12.3,12.6,23.7,561,0,Lunch,250,gluten-free,All Year,Grilled,Standard
Spaghetti Bolognese Asian Style (Standard portion),Meal/Pasta,437,20.5,56.6,18.7,8.6,17.1,641,0,Dinner,350,"high-protein,gluten-free",Summer,Raw,Standard
Tuna Salad Mexican Style (Standard portion),Meal/Fish,195,17.7,1.8,11.3,0.2,0.8,762,141,Lunch,300,"low-carb,gluten-free",All Year,Baked,Standard
Apple Mexican Style (Standard portion),Fruit,88,0.5,24.5,0.3,5.4,7.7,179,0,Snack,150,gluten-free,All Year,Boiled,Standard
Grilled Chicken Salad Spicy (Large portion),Meal/Protein,478,40.8,13.8,26.3,2.6,4.7,370,77,Lunch,250,"high-protein,gluten-free",All Year,Boiled,Large
Greek Yogurt Italian Style (Extra Large portion),Dairy,117,20.7,7,2.6,0.9,3.1,137,153,Breakfast,350,"high-protein,low-carb,gluten-free",Winter,Grilled,Extra Large
Almonds Mexican Style (Standard portion),Nut,152,5.9,5.9,14.2,1.1,1.6,243,0,Snack,100,"low-carb,gluten-free",Winter,Raw,Standard
Vegetable Curry Mediterranean Style (Small portion),Meal/Vegetable,237,6.8,29.3,10.2,3.5,13.7,436,0,Dinner,250,gluten-free,Spring,Baked,Small
Banana (Extra Large portion),Fruit,169,1.9,39.5,0.7,9.3,13.1,23,0,Breakfast,300,gluten-free,Fall,Steamed,Extra Large
Turkey Sandwich Mexican Style (Large portion),Meal/Processed,439,30.8,48.2,15.1,9.9,15.6,585,147,Lunch,300,"high-protein,gluten-free",Summer,Roasted,Large
Cottage Cheese with Vegetables (Standard portion),Dairy,93,12.6,4.9,3.2,0.6,1.4,33,126,Snack,0,"low-carb,gluten-free",All Year,Pan-fried,Standard
Vegetable Curry Italian Style (Extra Large portion),Meal/Vegetable,494,17.2,62.1,22.5,11.9,25.9,752,0,Dinner,300,gluten-free,Summer,Grilled,Extra Large
Stir Fry Tofu with Avocado (Large portion),Meal/Vegetarian,484,25.5,40.5,29.7,6,10,783,0,Dinner,500,"high-protein,vegetarian,vegan",Fall,Raw,Large
Veggie Burger Asian Style (Standard portion),Protein/Vegetarian,128,10,9.1,3.6,2.1,2.1,170,0,Lunch,350,"low-carb,vegetarian,vegan",Fall,Raw,Standard
Vegetable Curry Mediterranean Style (Small portion),Meal/Vegetable,236,6.3,29.2,10.6,3.2,7.8,450,0,Dinner,300,gluten-free,All Year,Boiled,Small
Quinoa Bowl Spicy (Extra Large portion),Meal/Grain,603,22.6,96,19.7,18.8,27.2,673,0,Lunch,250,"high-protein,gluten-free",Spring,Boiled,Extra Large
Vegetable Curry Extra Protein (Large portion),Meal/Vegetable,394,12.6,55.9,19.9,6.9,21.2,672,0,Dinner,300,gluten-free,Summer,Raw,Large
Banana (Standard portion),Fruit,108,1.3,26,0.4,7.3,11.4,183,0,Breakfast,350,gluten-free,Fall,Raw,Standard
Lentil Soup Mediterranean Style (Standard portion),Meal/Legume,232,15.1,34.1,2.9,9.9,11.2,219,0,Lunch,250,gluten-free,Fall,Grilled,Standard
Banana (Large portion),Fruit,134,1.8,32.4,0.6,5.1,15.4,155,0,Breakfast,250,gluten-free,Summer,Roasted,Large
Quinoa Bowl Asian Style (Extra Large portion),Meal/Grain,587,25.7,79.9,19.6,19.9,19.1,342,0,Lunch,350,"high-protein,gluten-free",Spring,Pan-fried,Extra Large
Tuna Salad High-Fiber (Small portion),Meal/Fish,122,13.4,1.3,7.8,0.2,0.4,538,184,Lunch,300,"low-carb,gluten-free",Fall,Baked,Small
Vegetable Curry Italian Style (Large portion),Meal/Vegetable,429,12.6,49.4,19.1,13.2,10.9,335,0,Dinner,400,gluten-free,Spring,Steamed,Large
Quinoa Bowl Spicy (Small portion),Meal/Grain,307,10.4,40.2,7.7,6.5,12.2,356,0,Lunch,350,gluten-free,Spring,Boiled,Small
Veggie Burger Italian Style (Small portion),Protein/Vegetarian,83,7.1,7.3,2.6,0.8,3.4,249,0,Lunch,250,"low-carb,vegetarian,vegan",All Year,Pan-fried,Small
Banana High-Fiber (Large portion),Fruit,140,1.6,31.8,0.5,5.8,11.4,152,0,Breakfast,500,gluten-free,Spring,Pan-fried,Large
Protein Shake High-Fiber (Extra Large portion),Supplement,182,34.8,4.7,1.5,1.2,1.5,290,0,Breakfast,300,"high-protein,low-carb,gluten-free",Winter,Steamed,Extra Large
Apple Light (Large portion),Fruit,130,0.6,29.8,0.4,3.4,14.3,290,0,Snack,100,gluten-free,Winter,Pan-fried,Large
Whole Wheat Toast High-Fiber (Extra Large portion),Grain,129,5.8,23.9,1.6,5.8,10.9,221,0,Breakfast,350,gluten-free,Fall,Grilled,Extra Large
Lentil Soup High-Fiber (Small portion),Meal/Legume,166,9.8,22.7,2.2,3.7,10.6,272,0,Lunch,250,gluten-free,Spring,Roasted,Small
Beef Steak Spicy (Standard portion),Protein/Meat,255,40.3,0,10.8,0,0,107,147,Dinner,300,"high-protein,low-carb,gluten-free",Winter,Pan-fried,Standard
Lentil Soup Extra Protein (Small portion),Meal/Legume,154,10.6,26.9,2.2,6.8,9.7,468,0,Lunch,400,gluten-free,Fall,Baked,Small
Turkey Sandwich Mexican Style (Small portion),Meal/Processed,232,16.4,25.9,8.6,5,10.9,1007,125,Lunch,500,gluten-free,Spring,Steamed,Small
Veggie Burger Light (Standard portion),Protein/Vegetarian,119,10.7,10.6,3.6,1.5,4.8,250,0,Lunch,300,"vegetarian,vegan,gluten-free",Winter,Baked,Standard
Grilled Chicken Salad with Vegetables (Large portion),Meal/Protein,422,35.3,12.2,27.8,2.7,4.7,599,184,Lunch,350,"high-protein,gluten-free",Fall,Raw,Large
Quinoa Bowl with Cheese (Standard portion),Meal/Grain,409,15.8,53,12.3,6.7,23.7,682,0,Lunch,250,gluten-free,All Year,Steamed,Standard
Apple Spicy (Extra Large portion),Fruit,152,0.8,40.8,0.5,6.5,10.3,24,0,Snack,100,gluten-free,Spring,Grilled,Extra Large
Scrambled Eggs Light (Large portion),Protein/Dairy,107,7.8,1.4,8.7,0.4,0.3,163,48,Breakfast,250,"low-carb,gluten-free",Fall,Baked,Large
Oatmeal Asian Style (Small portion),Grain,54,2.3,9.8,1.1,1.2,2.4,292,0,Breakfast,300,"low-carb,gluten-free",Spring,Boiled,Small
Chicken Breast Low-Carb (Small portion),Protein/Meat,125,23.4,0,2.6,0,0,113,134,Dinner,300,"high-protein,low-carb,gluten-free",All Year,Grilled,Small
Cottage Cheese Extra Protein (Standard portion),Dairy,96,12,5.1,2.9,1.3,1.5,232,149,Snack,250,"low-carb,gluten-free",Summer,Boiled,Standard
Apple Spicy (Standard portion),Fruit,96,0.5,26.4,0.3,4.1,11.9,278,0,Snack,200,gluten-free,All Year,Steamed,Standard
Protein Bar Mediterranean Style (Large portion),Supplement/Processed,249,24.3,28.5,9.3,4.3,7.1,568,0,Snack,250,"high-protein,gluten-free",Fall,Roasted,Large
Banana Mexican Style (Large portion),Fruit,141,1.6,31.8,0.5,8.3,15.6,230,0,Breakfast,500,gluten-free,Spring,Baked,Large
Turkey Sandwich High-Fiber (Standard portion),Meal/Processed,315,21.2,36.2,11.1,7.8,12,391,36,Lunch,350,"high-protein,gluten-free",All Year,Boiled,Standard
Avocado Toast Mediterranean Style (Standard portion),Meal/Vegetarian,253,7.4,30.4,16,6.8,11.2,684,0,Breakfast,300,"vegetarian,gluten-free",Winter,Pan-fried,Standard
Scrambled Eggs with Cheese (Standard portion),Protein/Dairy,85,5.7,0.9,6.8,0.2,0.2,99,103,Breakfast,350,"low-carb,gluten-free",Spring,Raw,Standard
Tuna Salad Mexican Style (Extra Large portion),Meal/Fish,285,27.6,3.5,19.6,0.6,1.7,742,55,Lunch,400,"high-protein,low-carb,gluten-free",Fall,Roasted,Extra Large
Spaghetti Bolognese Spicy (Extra Large portion),Meal/Pasta,747,29.2,96.1,29.8,11.7,21.7,287,0,Dinner,500,"high-protein,gluten-free",Spring,Grilled,Extra Large
Quinoa Bowl Light (Standard portion),Meal/Grain,377,15.4,53.5,12.8,7.7,13.8,433,0,Lunch,300,gluten-free,Spring,Raw,Standard
Cottage Cheese High-Fiber (Small portion),Dairy,66,8.5,3.7,2.1,0.9,1.6,89,127,Snack,150,"low-carb,gluten-free",Winter,Pan-fried,Small
Lentil Soup with Avocado (Small portion),Meal/Legume,154,9.9,26.3,2,5.3,6.9,452,0,Lunch,400,gluten-free,Fall,Boiled,Small
Cottage Cheese Mexican Style (Standard portion),Dairy,94,12.8,5,2.9,1.4,2,74,165,Snack,250,"low-carb,gluten-free",All Year,Boiled,Standard
Beef Steak Asian Style (Small portion),Protein/Meat,185,30.8,0,6.5,0,0,232,193,Dinner,350,"high-protein,low-carb,gluten-free",All Year,Raw,Small
Veggie Burger Spicy (Large portion),Protein/Vegetarian,141,13,12.9,5.1,1.4,6.4,262,0,Lunch,250,"vegetarian,vegan,gluten-free",Spring,Steamed,Large
Banana Extra Protein (Standard portion),Fruit,107,1.2,29.6,0.4,8.7,7.1,195,0,Breakfast,350,gluten-free,All Year,Steamed,Standard
Banana Mediterranean Style (Small portion),Fruit,75,0.9,18.2,0.3,5.2,6.8,56,0,Breakfast,400,gluten-free,Spring,Baked,Small
Lentil Soup Low-Carb (Large portion),Meal/Legume,296,20.7,48.1,4.1,14.1,22.7,363,0,Lunch,500,"high-protein,gluten-free",Winter,Steamed,Large
Beef Steak Mediterranean Style (Standard portion),Protein/Meat,263,40,0,9.7,0,0,298,39,Dinner,400,"high-protein,low-carb,gluten-free",All Year,Steamed,Standard
Grilled Chicken Salad with Vegetables (Standard portion),Meal/Protein,364,28.6,9.8,21.9,1.9,2.2,627,191,Lunch,400,"high-protein,low-carb,gluten-free",Winter,Steamed,Standard
Quinoa Bowl with Cheese (Large portion),Meal/Grain,546,21.2,78.1,15,8.6,33.8,537,0,Lunch,500,"high-protein,gluten-free",Spring,Grilled,Large
Salmon (Large portion),Protein/Fish,326,34.1,0,18.7,0,0,174,190,Dinner,250,"high-protein,low-carb,gluten-free",All Year,Boiled,Large
Greek Yogurt with Vegetables (Standard portion),Dairy,68,11.6,3.8,1.4,1.1,1.5,140,188,Breakfast,250,"low-carb,gluten-free",Winter,Baked,Standard
Lentil Soup Mexican Style (Standard portion),Meal/Legume,209,15.1,33.1,3,4.5,11.8,296,0,Lunch,250,gluten-free,Spring,Baked,Standard
Hummus Mediterranean Style (Standard portion),Legume,71,2.1,3.7,5.3,0.7,1.4,181,0,Snack,0,"low-carb,gluten-free",All Year,Raw,Standard
Protein Shake High-Fiber (Large portion),Supplement,148,32.2,4.2,1.4,0.6,1,191,0,Breakfast,250,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Large
Stir Fry Tofu (Extra Large portion),Meal/Vegetarian,611,28.7,48.7,35.1,11.9,24,417,0,Dinner,350,"high-protein,vegetarian,vegan",Summer,Baked,Extra Large
Lentil Soup Mexican Style (Small portion),Meal/Legume,145,11.5,23.9,2.1,3.6,6.4,259,0,Lunch,400,gluten-free,Fall,Raw,Small
Protein Shake Mediterranean Style (Standard portion),Supplement,109,24.4,3.2,1.1,0.8,0.9,155,0,Breakfast,250,"high-protein,low-carb,gluten-free",Winter,Boiled,Standard
Grilled Chicken Salad Low-Carb (Small portion),Meal/Protein,225,21.3,6.3,13.6,1.4,1.8,435,186,Lunch,300,"high-protein,low-carb,gluten-free",Winter,Roasted,Small
Tuna Salad with Vegetables (Large portion),Meal/Fish,248,22.7,2.6,16.9,0.3,0.8,750,187,Lunch,400,"high-protein,low-carb,gluten-free",All Year,Raw,Large
Greek Yogurt with Vegetables (Extra Large portion),Dairy,131,21.8,6.1,2.6,1.4,1.3,181,25,Breakfast,250,"high-protein,low-carb,gluten-free",Summer,Baked,Extra Large
Quinoa Bowl Mediterranean Style (Standard portion),Meal/Grain,412,14.8,59,12.7,12.9,15.3,224,0,Lunch,300,gluten-free,Spring,Pan-fried,Standard
Beef Steak Asian Style (Standard portion),Protein/Meat,258,42.8,0,9.4,0,0,265,87,Dinner,350,"high-protein,low-carb,gluten-free",Fall,Baked,Standard
Protein Bar Mexican Style (Large portion),Supplement/Processed,251,23.9,30.6,9.6,3.9,7,859,0,Snack,150,"high-protein,gluten-free",Summer,Raw,Large
Quinoa Bowl Asian Style (Extra Large portion),Meal/Grain,700,25.9,90.4,18,23.6,26.8,517,0,Lunch,350,"high-protein,gluten-free",Spring,Raw,Extra Large
Banana with Vegetables (Large portion),Fruit,146,1.6,35.5,0.5,10.2,15,262,0,Breakfast,400,gluten-free,Spring,Baked,Large
Stir Fry Tofu Extra Protein (Standard portion),Meal/Vegetarian,369,18.3,30.3,20.3,7.3,12.1,339,0,Dinner,350,"vegetarian,vegan,gluten-free",Fall,Baked,Standard
Banana Mediterranean Style (Standard portion),Fruit,99,1.4,27.3,0.4,7.3,13,198,0,Breakfast,300,gluten-free,All Year,Baked,Standard
Cottage Cheese High-Fiber (Small portion),Dairy,59,9.2,3.3,1.9,0.9,0.8,72,20,Snack,0,"low-carb,gluten-free",All Year,Steamed,Small
Protein Shake with Avocado (Large portion),Supplement,167,30.1,3.9,1.3,0.9,1.2,227,0,Breakfast,250,"high-protein,low-carb,gluten-free",Summer,Raw,Large
Whole Wheat Toast with Cheese (Extra Large portion),Grain,127,5.9,23.2,1.7,6.9,5.9,18,0,Breakfast,500,gluten-free,Fall,Pan-fried,Extra Large
Protein Shake with Avocado (Extra Large portion),Supplement,206,39.2,4.7,1.5,1.3,2.3,289,0,Breakfast,400,"high-protein,low-carb,gluten-free",Spring,Roasted,Extra Large
Grilled Chicken Salad (Small portion),Meal/Protein,246,19.4,7.4,13.5,1.2,1.8,335,118,Lunch,350,"low-carb,gluten-free",Summer,Grilled,Small
Turkey Sandwich Mediterranean Style (Extra Large portion),Meal/Processed,568,34.5,58.5,20.8,14.3,21.5,414,195,Lunch,400,"high-protein,gluten-free",Spring,Steamed,Extra Large
Whole Wheat Toast Asian Style (Large portion),Grain,98,5.3,19.8,1.2,4.2,7.7,190,0,Breakfast,500,gluten-free,Spring,Roasted,Large
Salmon Low-Carb (Large portion),Protein/Fish,301,30.6,0,19.5,0,0,110,75,Dinner,250,"high-protein,low-carb,gluten-free",All Year,Roasted,Large
Grilled Chicken Salad High-Fiber (Small portion),Meal/Protein,232,22.8,6.4,13.3,1.5,1.8,536,166,Lunch,400,"high-protein,low-carb,gluten-free",Fall,Grilled,Small
Greek Yogurt Mediterranean Style (Standard portion),Dairy,69,13.5,4.3,1.5,1.1,1.6,142,64,Breakfast,400,"low-carb,gluten-free",Summer,Grilled,Standard
Whole Wheat Toast with Avocado (Standard portion),Grain,85,3.8,12.7,0.9,1.7,4,279,0,Breakfast,400,gluten-free,Spring,Raw,Standard
Stir Fry Tofu with Avocado (Small portion),Meal/Vegetarian,298,11.8,19.6,15.2,2.8,6,291,0,Dinner,400,"vegetarian,vegan,gluten-free",Spring,Roasted,Small
Whole Wheat Toast Mediterranean Style (Small portion),Grain,57,2.8,10.4,0.6,3,3.3,44,0,Breakfast,500,gluten-free,Winter,Grilled,Small
Salmon with Cheese (Extra Large portion),Protein/Fish,378,42.2,0,22.7,0,0,255,65,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Grilled,Extra Large
Cottage Cheese Extra Protein (Extra Large portion),Dairy,144,20,8.1,4.7,1,2,107,88,Snack,100,"low-carb,gluten-free",Spring,Baked,Extra Large
Quinoa Bowl Light (Small portion),Meal/Grain,280,9.7,37.1,9.1,10.2,13.9,262,0,Lunch,300,gluten-free,Fall,Baked,Small
Salmon with Vegetables (Extra Large portion),Protein/Fish,360,40.3,0,24.6,0,0,271,79,Dinner,350,"high-protein,low-carb,gluten-free",Fall,Roasted,Extra Large
Spaghetti Bolognese Italian Style (Large portion),Meal/Pasta,617,24.7,73.5,21.8,15.6,32.2,297,0,Dinner,400,"high-protein,gluten-free",Winter,Baked,Large
Hummus Asian Style (Large portion),Legume,93,2.8,4.8,6.2,1.4,2,3,0,Snack,100,"low-carb,gluten-free",Fall,Steamed,Large
Salmon High-Fiber (Standard portion),Protein/Fish,252,24.5,0,14.2,0,0,177,143,Dinner,400,"high-protein,low-carb,gluten-free",All Year,Roasted,Standard
Quinoa Bowl with Cheese (Standard portion),Meal/Grain,384,14.1,56.2,11.4,6.9,20.9,477,0,Lunch,250,gluten-free,Fall,Steamed,Standard
Vegetable Curry with Vegetables (Large portion),Meal/Vegetable,421,11.8,51.4,18.8,6.3,20,550,0,Dinner,350,gluten-free,All Year,Steamed,Large
Avocado Toast Extra Protein (Large portion),Meal/Vegetarian,333,8.4,33,20.5,5.5,12.7,367,0,Breakfast,500,"vegetarian,gluten-free",Fall,Roasted,Large
Hummus Italian Style (Large portion),Legume,95,2.7,4.8,6.9,0.9,1.4,47,0,Snack,0,"low-carb,gluten-free",Spring,Steamed,Large
Hummus with Avocado (Standard portion),Legume,73,1.9,3.7,5.5,1,1.8,34,0,Snack,100,"low-carb,gluten-free",Winter,Grilled,Standard
Scrambled Eggs (Standard portion),Protein/Dairy,97,5.9,0.9,7.1,0.2,0.3,163,132,Breakfast,250,"low-carb,gluten-free",All Year,Boiled,Standard
Chicken Breast Extra Protein (Extra Large portion),Protein/Meat,318,56.7,0,7,0,0,223,126,Dinner,400,"high-protein,low-carb,gluten-free",Fall,Boiled,Extra Large
Grilled Chicken Salad with Avocado (Large portion),Meal/Protein,454,37.3,12.7,28.4,2.3,5.6,241,165,Lunch,500,"high-protein,gluten-free",Fall,Pan-fried,Large
Salmon with Cheese (Extra Large portion),Protein/Fish,403,40.7,0,24.1,0,0,247,169,Dinner,300,"high-protein,low-carb,gluten-free",Winter,Raw,Extra Large
